,Hotel_Name,Date,Title,Review,Rating
709,ibis Budget Singapore Ametrine, May 2018,The last place you'd want to stay,"As our taxi pulled up he said “you know this used to be the red light district right?” And on seeing the hotel and surrounding area this fact did not in anyway surprise us. The front desk got our hopes up by saying they had upgraded us to a bigger room. He probably shouldn't have raised our expectations like that. We went up two floors to our room. The smell of cigarette smoke hang in the air. Couldn't be sure if that was current or from decades of smoking that had just stuck in to the fabric of the hotel. The room itself was tiny (thanks for that upgrade) and big enough for a double bed and single bed, bathroom and small desk. The furniture was all chipped and stained. There were some very dubious looking stains on my headboard which I didn't inspect too closely or I",2
2246,Ibis Budget Singapore Clarke Quay, June 2019,Excellent hotel accommodation,The hotel was really nice and the staff mr arcie and ms maricel was such a delight and very professional. The hotel has an amazing view on the pool area which shows clark quay. Great for traveling family.,5
3465,Ibis Budget Singapore Crystal, November 2014,Overnight stay,"A somewhat surprisingly well-appointed hotel for the price. Friendly, efficient and helpful staff. Lifts to room. Regular sized single room with queen-sized bed and dressing table. Cupboard with hangers, TV and en suite bathroom. Soap in shower, but just needed some shampoo. Hairdryer and toothbrushes, water tea and coffee provided. Tap water safe to drink. Within 10 min walking distance of the MTR underground system Aljunied.",4
3239,Ibis Budget Singapore Clarke Quay, April 2012,Very conveniently located,"Very conveniently located!! Just across the road is Central Mall, and Clarke Quay is just behind Central Mall. You can even get the top view of the 3 towers of Marina Bay Sands from Clarke Quay. You can access Clarke Quay MRT either at Central Mall or another entrance within less than 5 minutes walk from hotel. Chinatown is only 5-10 minutes walk from hotel. Front desk staff are helpful. Room is compact but clean. Just note there is no separate shower from toilet & wash basin – floor will be wet after shower. Hotel only provide bath towels, no hand towel & hair shampoo. Main entrance to the hotel lobby is via a few steps, so got to lug luggage up the steps. A small setback : Housekeeping not done by 3pm despite “Please make up my room” tag being hanged up. Breakfast is",4
4918,ibis budget Singapore Sapphire, September 2015,Awesome!,"My boyfriend and i have stayed here for 5 days. They clean our room everyday, change our towels and everyone is so pleasant. The area has a lot of food stalls and nearby minimart just across the hotel that's open 24/7. The bus stop opp mohd salleh is a 2 minute walk from the hotel which can get you to the nearest mrt station or you can take the bus to go anywhere in the city. Will definitely stay here again.",5
4844,ibis budget Singapore Sapphire, December 2019,Day use,We just stayed at the hotel for a day use. The staff at the front desk was very helpful and cooperative. Would be my first choice in Singapore for a budget stay. I would have given 5* if i have stayed overnight. Excellent service and very clean hotel and clean rooms.,4
4275,ibis budget Singapore Ruby, February 2015,less than 24 hours in hotel,"The purpose of this hotel was to have somewhere to sleep instead of sleeping in the airport. I also wanted to explore Singapore but didnt want to stay at a hotel that was too far from the airport. Getting to the hotel from the airport is fairly easy IF google maps works correctly or IF the map used is accurate (ours wasnt). The subway system from airport to hotel was easy to understand & the hotel was on the same line as the airport train (green). Surrounding the hotel are street vendors and the train station is about a 10 min walk. My bf & I initially got lost & couldnt find it. We asked some locals after walking in the opposite direction & they suggested talking bus80, but then bus 80 drove right past us even though we were at the bus stop. Still there's an alternative to",3
1480,ibis budget Singapore Joo Chiat,ept 2014,Value for Money,"Worth every penny spent if you are not claustrophobic (excuse if I got this wrongly spelled). But I love the fact that it is very near to Geylang Serai food outlet. Quite a walk to the nearest mrt station but good stopover for food (again, food galore).. nothing fancy about the hotel as it IS a budget hotel.",4
5147,ibis budget Singapore Sapphire, July 2009,No big deal if its cheap & clean,"Paying $50 SGD for a clean private room in Singapore is like eating free food, your alternative for a little less is a dorm in Little India which has as much appeal as watching Test cricket..zzzzz The hotel is located in Geylang, apparently a red light district but it seems more like a lively street restaurant scene than anything sinister. Geylang comes to life at night as it plays host to street stalls & noodle bars that offer cheap Asian dishes in typical clean Singaporean style. The neon lights& buzz make Geylang a great place to drink & eat cheap food without paying the ridiculous tourist prices. Not only randy old men but locals hang out at here too. The Fragrance Sapphire hotel is budget in terms of size & floor space but makes up for in value, it is by no means tiny",3
4431,ibis budget Singapore Ruby, September 2013,It's ok if you're on a tight budget,"We stayed for 3 nights, while applying for Thai visa. This place is not bad considering the price compared to other hotels in singapore. Staff is friendly and always ready to help. Hotel located in the red light district. It's about 10 mins walk from MRT station. If you want wi-fi in your room, it's 10$ for 24 hours for 1 device, but still you won't be able to use it because the quality is just awful, so it's better to use free wi-fi at the lobby. Don't count on wake up call if you need to be up in time, because i didn't get any.",3
269,ibis budget Singapore Pearl, January 2014,Nice staffs BUt,"Stayed here once, room is not clean. Bathroom smells bad. maybe i just wasnt lucky to get a good room that night but If youre looking for budget hotel ,same rate and same area ,try fragrance crystal... I have reviewed Crystal too and it is much better. Fragrance crystal is near the bus station too..less than 5 mins walk,",3
4029,ibis budget Singapore Ruby, April 2017,"Very small, expensive, but ok location","Booked this place last minute due to being let down by air bnb. Room was tiny, double bed was very small, the room smelt musky. Only good thing about this room is that it was really close to MRT. I wouldn't stay here again",2
1824,ibis budget Singapore Bugis, June 2015,"relaxing, safe and accessible",The first time I visited Singapore this is where I stayed with friends. The room for double bed has enough space and comfortable to rest after a long day of tour of the city. It is very clean and well maintained. It is situated near the transportation area. The price is also affordable.,5
1539,ibis budget Singapore Joo Chiat,Jan-13,"Affordable, clean, convenient","My friend and I stayed at this hotel from 11-13 January 2013 as we were attending a Regional Training Event at the Singapore Expo. This is a budget hotel (no breakfast included) but there are a lot of restaurants nearby and therefore very convenient food wise. Breakfast of toast, coffee and 2 half-boiled eggs cost S$3.20 at the nearby restaurant.",3
1703,ibis budget Singapore Bugis, September 2018,Fair hotel,"We came to Singapore for F1 Grand Prix, just 10 mins walk from hotel to the gate, accessible to Haji Lane and Mosque. Staffs were friendly and helpful. There was lots of rubbish still in the trash bin whilst checking in! Room was small, the hook of shower tap was broken so that I could not hang it for shower.",3
1438,ibis budget Singapore Joo Chiat,May-15,Nice hotel...nice price...,"Almost 2-3 times a year came to Singapore and stayed here for 3-4 days. Even they have flat expression of receptionist, but so far no matter they will answer and help the guest. Always request for room with window. Location near many cheap local food, can walk to Marine Parade, bus are easy to reach.",4
242,ibis budget Singapore Pearl, September 2014,Clean Tidy Modern Budget Hotel,"We stayed here as a transit stop on our way home to Australia from Istanbul. This hotel is clearly a budget hotel. It fills its' role perfectly, the rooms are no frills but clean and comfortable. The location by taxi is about 20 minutes to the airport and 10 minutes into Orchard St.",4
4484,ibis budget Singapore Ruby, April 2013,"Good value , great sleep.","Me and my friends have stayed just for 1 night. Check in was a bit slow ( could be because of 6 of us ). We have been upgraded to premium rooms without additional charge :) Rooms were only small,but we did not expect much for the money we paid. Beds were nice and comfy and bedding fresh and clean (MOST IMPORTANT!!!) Maybe re-decorating would be essential as there were patches on walls here and there. To be honest I've stayed in 3-4 star hotels which were not as nice as 1-2star Ruby. We did not find area as dodgy. Even walking around in the middle of the night did not make us feel unsafe. We did not feel hassled from others at all. Its only about 15 minutes away from city center by MRT. Last 1 from the city goes back to ""Aljuned"" (the 1 near to hotel) around 00.30 (weekends)",4
3476,Ibis Budget Singapore Crystal, October 2014,Nice & cheap,"Clean room and cheap compared to hotels in singapore. Minus point, like others saying is no wifi. Other minus maybe not a friendly neighborhood of geylang. Near aljunied MRT station, and easy to get to nearest shelter. Minimarket nearby. Facilities working perfectly.",4
4677,ibis budget Singapore Ruby, March 2013,"For the money paid, an OK hotel","We stayed her 31st March, until 3rd April. I had a room to myself, and my elderly parents had a room next door. The hotel is a short walk from the MTR (underground) station called 'Aljunied', just 7 stops from the airport. A taxi from the airport, outside at the main taxi rank, cost us $20 Singapore dollars. We arrived at 2pm, with check in being from 3pm, but they soon found us 2 rooms next door to one another. Reception were very friendly and efficient. As per all the previous comments these rooms are tiny with no room to get suitcases out etc. for me, as a single traveller it was sufficient. My parents found it a bit of a squash. We were not in the rooms long, and we knew before we checked in that the rooms were small so I cannot complain. The room has no fridge, or",3
1044,ibis budget Singapore Imperial,Nov-14,Disgusting,"I didn't expect much because it is quite cheap. But finding a dirty toilet (yes, with escrements!) it is a bit too much. The staff was not surprised at all and didn't even say ""sorry"". I got in the hotel very late at night so I had to stay there and just change the room. This time there was a hole in the ceiling. At morning some water was coming through that hole. No windows in the room, you have to switch on the water heating and wait for the water to become hot. The rooms are quite dirty, stains on the wall and mouldy. The air conditioning won't let you sleep since it is way too noisy. The only good point is the location, 5 min walk from Lavender station. I wouldn't suggest to anyone.",1
4168,ibis budget Singapore Ruby, October 2015,"Good location, Good service","We had booked at Fragrance Ruby for 3 nights. This hotel is comfortable to travel, near MRT, near bus stop and have many restaurant. Have a nice service, nice room but the room quit small. If we go to singapore, will visit here again.",4
1872,ibis budget Singapore Bugis, August 2015,stained blankets,"This hotel is in a pretty nice location, is competitively priced and could be a good place to stay for a night or two. This is what I thought when I booked the place. However, they managed to screw up the only thing that is unforgivable. The blankets in the room were stained and obviously not changed after the previous guest (have photos that I do not want to post here to show this). Also there were black hair all over the bed. Stayed only for one night and will never return, I suggest you AVOID this hotel as well as there are other options in the same price range that deliver alot more for the same price.",1
3532,Ibis Budget Singapore Crystal, September 2013,Not fit for a pig.,"What a dump, a dirty smelly hotel in a red light area. My room was superior, well I would hate to see a standard room. There was mould on the ceilings and some holes in the bathroom roof which were pluged up with toilet paper. If you want a cheap dump where you can take a hooker to then this is the place to go.",1
1602,ibis budget Singapore Joo Chiat,Jul-09,One night in Singapore,This was only one night in this hotel and I arrived late and depature early so I only eat some in the neighbourhood and slept. It is depending what you want for long stay this hotel is not real suitable but with low budget and a short stay it is perfect. Overall I liked this hotel.,3
4260,ibis budget Singapore Ruby, April 2015,Clean and Quiet,"This hotel was pretty good, it was in less touristy area and very easy to get to from the station. We got upgraded to the premium double on arrival. The bathroom was nice, only soap provided no shampoo/conditioner which I would expect from a hotel that costs $58AUD/night. Wifi was good once we got it sorted, had a few issues when trying to connect. Very quiet, making it easy to get over jet lag and hotel/room was very clean. They held our bags for us so we could go and explore before checking in.",4
2811,Ibis Budget Singapore Clarke Quay, March 2014,Not a good value for money,"Located 5 minutes walk from clarke quay the hotel is ok but not a relatively good value for money. The hot water in the bathroom is not very hot, there is no plugg next to the bed to plug your phone or else. The staff is nice and always eager to help. Must pay 20 $ for the wifi...",3
5220,ibis budget Singapore Selegie, October 2018,"Good location, nice staff",Rooms are a bit small but I was not there all the time. Location is close to Little India Station and a bus stop beside. Staff are nice and attentive. Although we weren't provided with extra pillows as they had no 'availability'. Over all our stay was satisfying and surely will come back to this hotel again.,4
634,ibis budget Singapore West Coast, July 2018,Pleasant and Comfortable Stay,"Location of Hotel - it is located just about a Km (10 min walk) from the National University of Singapore (NUS) Shaw Wallace Building (AS7). There is a Bus Stop right in front of the Hotel Entrance which is very convenient. Also, Kent Ridge Bus Terminal is just about 200 metres (5 min walk) from the Hotel. There are five to six budget restaurants (catering to Local, Chinese, Thai, Spanish, Indonesian, Indian and Malay cuisines) within 2 minutes walk from the hotel - very convenient again. The hotel does not provide any meals. Hotel Staff - very courteous and helpful. They promptly attend to your needs. Rooms - They are small but comfortable in case you are just spending your nights in them. Remember that its for travelers on a limited budget. You cannot entertain any guests in",4
2107,ibis budget Singapore Bugis, October 2011,Do not ask too much for budget hotel,"We stayed there for 3 nites. Location : very convenient if you are going to Suntec City ( 7 minutes walking ) , Bugis Village ( 7 minutes ) , Bugis Junction ( 5 minutes ) . Little india and mustafa centre is 20 minutes walking. Very near with the National Library and Inter - continental Hotel. This hotel is next to 81 Bugis Hotel. MRT : Bugis MRT Station, is about 10 minutes walking, choose C Exit. Food : very poor, they give breakfast coupons, make sure you keep them , they will not give another ones , once you lost the coupons. Variety of food were very poor, they served rice with side dish, such as fried noodles or meehoon, steam eggs in pan, sausages, mixed vegetables, and white bread only. Once you give the meal coupon to the lady, she will give you the spoon and",3
4399,ibis budget Singapore Ruby, December 2013,Worst hotel in 30 years of travelling in Asia,"The first room we were given still had dirty sheets on the bed. The hotel seems to be used by prostitutes as a couple got in the lift and he asked her if she did something I won't repeat and she agreed. They did not seem to know each other and did not even appear to speak the same language. This, I suppose is not surprising as the hotel is in the middle of the red light district apparently - just don't take the kids there. I was so happy I had brought my sleeping sheet with me because even though the sheets appeared clean in the second room they gave us, I had my doubts. I am so surprised at the good reviews on Tripadvisor, we booked this hotel because of those reviews. When I complained to another hotel owner, he said that some hotels pay people to write good reviews so I will",1
990,ibis budget Singapore Imperial,Aug-15,"Nice and Clean Hotel, Near to Lavender MRT",Hotel is nice and clean.. Staff is very supportive and helpful. It is located near to Lavender MRT and hence gets connectivity travelling to entire Singapore. It is also around 1 Km to mustaffa center which is open round the clock.,4
1616,ibis budget Singapore Joo Chiat,Oct-09,Overall good hotel,"Hotel appear away from city center but actually if you know bus route, its easy to reach. I 1st went from Malaysia by bus to Woodland MRT station. From there went to Kallang MRT station. From there took taxi to reach hotel. However, at hotel I was told I can walk to Paya Lebar MRT Station. I found this walking distance too much. Later found Bus No. 33 stands right in front of next door. One can go using this bus to Lavender MRT station and from there can go anywhere. Same is true when returning . So this hotel is not really far from main city and can be easily reached. Overall good hotel.",4
